id,name,text,site_url,image_url,category_id,created_at,updated_at
1,「BASE」  楽に無料でネットショップを作れる,初期・月額費用無料で自分の好きなデザインのネットショップを作れる。,https://thebase.in/,,,,
2,「STORES.jp」  すばやく無料でネットショップが作りたい,難しいWEB技術は不要！決済機能などの必要な機能も実装可能。手芸用品大手の「ユザワヤ」と提携！,https://stores.jp/,,,,
3,「LUXA(ルクサ)」　選ばれた贅沢な体験をお得な価格で,最大90%OFFで有名レストランやエステを。自分では本当に良いサービスか分からない方に最適！KDDIも出資,https://luxa.jp/,,,,
4,「超！美味しく変換」　料理をもっと美味しく撮りたい！,料理の写真を自動で美味しそうに変換してくれる。無料で登録不要！,http://foodpic.net/,,,,
5,「SHOWROOM」　ライブの新しい形！仮想空間でアイドルを応援できる。,コメントやアイテムを投げ込んで参加！登録不要、視聴無料！大手芸能事務所所属アイドルも公演！,https://www.showroom-live.com/,,,,
6,「schoo(スクー)」　生放送の授業だからもうサボらない,オンライン動画学習サービス、英語、プログラミング、WEBデザイン、起業など挑戦したいことを手軽に勉強できる。受講生同士でチャットで会話も。,https://schoo.jp/guest,,,,
7,「すごい時間割」　大学生よ！履修選択やテスト情報はここで手に入る！,全国の大学を網羅、ぼっち授業でも助けてくれる、出欠管理機能や休講情報の確認に便利。,https://www.sugojika.com/,,,,
8,「zuknow（ズノウ）」　友だちと競える暗記帳アプリ,TOEIC、簿記などの資格試験を友達と競争しながら学習できるソーシャル学習アプリ,https://www.zuknow.net/,,,,
9,「畑っぴ」　野菜育成ゲームしてたほんとに野菜が届いた！,アプリで育てた野菜が自宅に届く、４０種類以上の作物を育てられる、難易度によって数日から２ヶ月で収穫できる。,http://hatakeppi.com/mb/Ftop.swf?uid=NULLGWDOCOMO,,,,
